project_id,state_id,due_date,state_entered_timestamp,state_completed_timestamp,days_to_complete,late,days_late,achieved
22,1,2021-06-08,2021-06-05,2021-06-15,10,True,7,True
22,2,2021-06-15,2021-06-15,2021-06-25,10,True,10,True
22,3,2021-06-25,2021-06-25,2021-07-03,8,True,8,True
22,4,2021-07-05,2021-07-03,,,True,50,False
22,5,2021-07-13,,,,True,42,False
23,1,2021-04-04,2021-04-06,2021-04-10,4,True,6,True
23,2,2021-04-16,2021-04-10,2021-04-20,10,True,4,True
23,3,2021-04-20,2021-04-20,2021-05-02,12,True,12,True
23,4,2021-04-30,2021-05-02,,,True,116,False
23,5,2021-05-12,,,,True,104,False
24,1,2021-08-15,2021-08-11,2021-08-17,6,True,2,True
24,2,2021-08-21,2021-08-17,2021-08-20,3,False,,True
24,3,2021-08-27,2021-08-20,,,False,,False
24,4,2021-08-30,,,,False,,False
25,1,2021-02-09,2021-02-05,2021-02-13,8,True,4,True
25,2,2021-02-15,2021-02-13,2021-02-18,5,True,3,True
25,3,2021-02-23,2021-02-18,2021-02-26,8,True,3,True
25,4,2021-02-28,2021-02-26,,,True,177,False
25,5,2021-03-08,,,,True,169,False
26,1,2021-08-07,2021-07-31,2021-08-04,4,False,,True
26,2,2021-08-10,2021-08-04,2021-08-09,5,False,,True
26,3,2021-08-14,2021-08-09,2021-08-15,6,True,1,True
26,4,2021-08-19,2021-08-15,,,True,5,False
26,5,2021-08-25,,,,False,,False
27,1,2021-08-08,2021-08-10,2021-08-21,11,True,13,True
27,2,2021-08-20,2021-08-21,,,True,4,False
27,3,2021-08-31,,,,False,,False
28,1,2021-07-04,2021-06-28,2021-07-01,3,False,,True
28,2,2021-07-08,2021-07-01,2021-07-05,4,False,,True
28,3,2021-07-11,2021-07-05,2021-07-11,6,False,,True
28,4,2021-07-15,2021-07-11,,,True,40,False
28,5,2021-07-21,,,,True,34,False
29,1,2021-08-11,2021-08-13,2021-08-17,4,True,6,True
29,2,2021-08-23,2021-08-17,,,True,1,False
29,3,2021-08-27,,,,False,,False
30,1,2021-02-03,2021-02-01,2021-02-05,4,True,2,True
30,2,2021-02-11,2021-02-05,2021-02-08,3,False,,True
30,3,2021-02-15,2021-02-08,2021-02-20,12,True,5,True
30,4,2021-02-18,2021-02-20,,,True,187,False
30,5,2021-03-02,,,,True,175,False
31,1,2021-03-01,2021-02-24,2021-02-28,4,False,,True
31,2,2021-03-06,2021-02-28,2021-03-10,10,True,4,True
31,3,2021-03-10,2021-03-10,2021-03-16,6,True,6,True
31,4,2021-03-20,2021-03-16,,,True,157,False
31,5,2021-03-26,,,,True,151,False
32,1,2021-07-03,2021-06-26,2021-07-07,11,True,4,True
32,2,2021-07-06,2021-07-07,2021-07-16,9,True,10,True
32,3,2021-07-17,2021-07-16,2021-07-28,12,True,11,True
32,4,2021-07-26,2021-07-28,,,True,29,False
32,5,2021-08-07,,,,True,17,False
33,1,2021-08-12,2021-08-09,2021-08-13,4,True,1,True
33,2,2021-08-19,2021-08-13,2021-08-19,6,False,,True
33,3,2021-08-23,2021-08-19,2021-08-23,4,False,,True
33,4,2021-08-29,2021-08-23,,,False,,False
33,5,2021-09-02,,,,False,,False
34,1,2021-04-10,2021-04-09,2021-04-14,5,True,4,True
34,2,2021-04-19,2021-04-14,2021-04-17,3,False,,True
34,3,2021-04-24,2021-04-17,2021-04-28,11,True,4,True
34,4,2021-04-27,2021-04-28,,,True,119,False
34,5,2021-05-08,,,,True,108,False
35,1,2021-01-21,2021-01-23,2021-01-27,4,True,6,True
35,2,2021-02-02,2021-01-27,2021-02-05,9,True,3,True
35,3,2021-02-06,2021-02-05,2021-02-11,6,True,5,True
35,4,2021-02-15,2021-02-11,,,True,190,False
35,5,2021-02-21,,,,True,184,False
36,1,2021-04-12,2021-04-12,2021-04-24,12,True,12,True
36,2,2021-04-22,2021-04-24,2021-04-29,5,True,7,True
36,3,2021-05-04,2021-04-29,2021-05-05,6,True,1,True
36,4,2021-05-09,2021-05-05,,,True,107,False
36,5,2021-05-15,,,,True,101,False
37,1,2021-07-31,2021-07-26,2021-07-31,5,False,,True
37,2,2021-08-05,2021-07-31,2021-08-08,8,True,3,True
37,3,2021-08-10,2021-08-08,2021-08-19,11,True,9,True
37,4,2021-08-18,2021-08-19,,,True,6,False
37,5,2021-08-29,,,,False,,False
38,1,2021-02-10,2021-02-12,2021-02-22,10,True,12,True
38,2,2021-02-22,2021-02-22,2021-02-27,5,True,5,True
38,3,2021-03-04,2021-02-27,2021-03-02,3,False,,True
38,4,2021-03-09,2021-03-02,,,True,168,False
38,5,2021-03-12,,,,True,165,False
39,1,2021-07-04,2021-07-03,2021-07-15,12,True,11,True
39,2,2021-07-13,2021-07-15,2021-07-26,11,True,13,True
39,3,2021-07-25,2021-07-26,2021-08-02,7,True,8,True
39,4,2021-08-05,2021-08-02,,,True,19,False
39,5,2021-08-12,,,,True,12,False
40,1,2021-04-20,2021-04-17,2021-04-22,5,True,2,True
40,2,2021-04-27,2021-04-22,2021-05-03,11,True,6,True
40,3,2021-05-02,2021-05-03,2021-05-06,3,True,4,True
40,4,2021-05-13,2021-05-06,,,True,103,False
40,5,2021-05-16,,,,True,100,False
41,1,2021-07-19,2021-07-13,2021-07-21,8,True,2,True
41,2,2021-07-23,2021-07-21,2021-07-24,3,True,1,True
41,3,2021-07-31,2021-07-24,2021-08-04,11,True,4,True
41,4,2021-08-03,2021-08-04,,,True,21,False
41,5,2021-08-14,,,,True,10,False
42,1,2021-02-14,2021-02-10,2021-02-20,10,True,6,True
42,2,2021-02-20,2021-02-20,2021-02-28,8,True,8,True
42,3,2021-03-02,2021-02-28,2021-03-12,12,True,10,True
42,4,2021-03-10,2021-03-12,,,True,167,False
42,5,2021-03-22,,,,True,155,False
43,1,2021-07-02,2021-06-30,2021-07-12,12,True,10,True
43,2,2021-07-10,2021-07-12,2021-07-24,12,True,14,True
43,3,2021-07-22,2021-07-24,2021-07-29,5,True,7,True
43,4,2021-08-03,2021-07-29,,,True,21,False
43,5,2021-08-08,,,,True,16,False
44,1,2021-04-20,2021-04-19,2021-04-23,4,True,3,True
44,2,2021-04-29,2021-04-23,2021-04-26,3,False,,True
44,3,2021-05-03,2021-04-26,2021-05-08,12,True,5,True
44,4,2021-05-06,2021-05-08,,,True,110,False
44,5,2021-05-18,,,,True,98,False
45,1,2021-07-08,2021-07-06,2021-07-11,5,True,3,True
45,2,2021-07-16,2021-07-11,2021-07-17,6,True,1,True
45,3,2021-07-21,2021-07-17,2021-07-23,6,True,2,True
45,4,2021-07-27,2021-07-23,,,True,28,False
45,5,2021-08-02,,,,True,22,False
46,1,2021-04-17,2021-04-19,2021-04-28,9,True,11,True
46,2,2021-04-29,2021-04-28,2021-05-01,3,True,2,True
46,3,2021-05-08,2021-05-01,2021-05-10,9,True,2,True
46,4,2021-05-11,2021-05-10,,,True,105,False
46,5,2021-05-20,,,,True,96,False
47,1,2021-04-28,2021-04-21,2021-04-26,5,False,,True
47,2,2021-05-01,2021-04-26,2021-05-06,10,True,5,True
47,3,2021-05-06,2021-05-06,2021-05-10,4,True,4,True
47,4,2021-05-16,2021-05-10,,,True,100,False
47,5,2021-05-20,,,,True,96,False
48,1,2021-07-09,2021-07-04,2021-07-14,10,True,5,True
48,2,2021-07-14,2021-07-14,2021-07-25,11,True,11,True
48,3,2021-07-24,2021-07-25,2021-08-04,10,True,11,True
48,4,2021-08-04,2021-08-04,,,True,20,False
48,5,2021-08-14,,,,True,10,False
49,1,2021-06-14,2021-06-07,2021-06-10,3,False,,True
49,2,2021-06-17,2021-06-10,2021-06-20,10,True,3,True
49,3,2021-06-20,2021-06-20,2021-06-28,8,True,8,True
49,4,2021-06-30,2021-06-28,,,True,55,False
49,5,2021-07-08,,,,True,47,False
50,1,2021-08-13,2021-08-13,2021-08-16,3,True,3,True
50,2,2021-08-23,2021-08-16,,,True,1,False
50,3,2021-08-26,,,,False,,False
51,1,2021-02-28,2021-03-01,2021-03-05,4,True,5,True
51,2,2021-03-11,2021-03-05,2021-03-10,5,False,,True
51,3,2021-03-15,2021-03-10,2021-03-13,3,False,,True
51,4,2021-03-20,2021-03-13,,,True,157,False
51,5,2021-03-23,,,,True,154,False
52,1,2021-07-03,2021-07-02,2021-07-10,8,True,7,True
52,2,2021-07-12,2021-07-10,2021-07-13,3,True,1,True
52,3,2021-07-20,2021-07-13,2021-07-19,6,False,,True
52,4,2021-07-23,2021-07-19,,,True,32,False
52,5,2021-07-29,,,,True,26,False
53,1,2021-07-13,2021-07-06,2021-07-17,11,True,4,True
53,2,2021-07-16,2021-07-17,2021-07-29,12,True,13,True
53,3,2021-07-27,2021-07-29,2021-08-02,4,True,6,True
53,4,2021-08-08,2021-08-02,,,True,16,False
53,5,2021-08-12,,,,True,12,False
54,1,2021-02-10,2021-02-12,2021-02-18,6,True,8,True
54,2,2021-02-22,2021-02-18,2021-02-25,7,True,3,True
54,3,2021-02-28,2021-02-25,2021-03-04,7,True,4,True
54,4,2021-03-07,2021-03-04,,,True,170,False
54,5,2021-03-14,,,,True,163,False
55,1,2021-02-05,2021-02-05,2021-02-14,9,True,9,True
55,2,2021-02-15,2021-02-14,2021-02-18,4,True,3,True
55,3,2021-02-24,2021-02-18,2021-02-21,3,False,,True
55,4,2021-02-28,2021-02-21,,,True,177,False
55,5,2021-03-03,,,,True,174,False
56,1,2021-09-01,,,,False,,False
57,1,2021-08-03,2021-07-28,2021-08-04,7,True,1,True
57,2,2021-08-07,2021-08-04,2021-08-09,5,True,2,True
57,3,2021-08-14,2021-08-09,2021-08-20,11,True,6,True
57,4,2021-08-19,2021-08-20,,,True,5,False
57,5,2021-08-30,,,,False,,False
58,1,2021-02-09,2021-02-04,2021-02-11,7,True,2,True
58,2,2021-02-14,2021-02-11,2021-02-14,3,False,,True
58,3,2021-02-21,2021-02-14,2021-02-17,3,False,,True
58,4,2021-02-24,2021-02-17,,,True,181,False
58,5,2021-02-27,,,,True,178,False
59,1,2021-03-04,2021-03-01,2021-03-12,11,True,8,True
59,2,2021-03-11,2021-03-12,2021-03-20,8,True,9,True
59,3,2021-03-22,2021-03-20,2021-03-28,8,True,6,True
59,4,2021-03-30,2021-03-28,,,True,147,False
59,5,2021-04-07,,,,True,139,False
60,1,2021-08-31,2021-08-24,,,False,,False
60,2,2021-09-03,,,,False,,False
61,1,2021-06-27,2021-06-27,2021-07-07,10,True,10,True
61,2,2021-07-07,2021-07-07,2021-07-16,9,True,9,True
61,3,2021-07-17,2021-07-16,2021-07-24,8,True,7,True
61,4,2021-07-26,2021-07-24,,,True,29,False
61,5,2021-08-03,,,,True,21,False
62,1,2021-02-25,2021-02-21,2021-03-02,9,True,5,True
62,2,2021-03-03,2021-03-02,2021-03-14,12,True,11,True
62,3,2021-03-12,2021-03-14,2021-03-21,7,True,9,True
62,4,2021-03-24,2021-03-21,,,True,153,False
62,5,2021-03-31,,,,True,146,False
63,1,2021-02-15,2021-02-10,2021-02-17,7,True,2,True
63,2,2021-02-20,2021-02-17,2021-02-25,8,True,5,True
63,3,2021-02-27,2021-02-25,2021-03-05,8,True,6,True
63,4,2021-03-07,2021-03-05,,,True,170,False
63,5,2021-03-15,,,,True,162,False
64,1,2021-07-13,2021-07-07,2021-07-15,8,True,2,True
64,2,2021-07-17,2021-07-15,2021-07-27,12,True,10,True
64,3,2021-07-25,2021-07-27,2021-07-30,3,True,5,True
64,4,2021-08-06,2021-07-30,,,True,18,False
64,5,2021-08-09,,,,True,15,False
65,1,2021-03-21,2021-03-16,2021-03-21,5,False,,True
65,2,2021-03-26,2021-03-21,2021-04-02,12,True,7,True
65,3,2021-03-31,2021-04-02,2021-04-09,7,True,9,True
65,4,2021-04-12,2021-04-09,,,True,134,False
65,5,2021-04-19,,,,True,127,False
66,1,2021-04-22,2021-04-23,2021-04-28,5,True,6,True
66,2,2021-05-03,2021-04-28,2021-05-05,7,True,2,True
66,3,2021-05-08,2021-05-05,2021-05-09,4,True,1,True
66,4,2021-05-15,2021-05-09,,,True,101,False
66,5,2021-05-19,,,,True,97,False
67,1,2021-07-17,2021-07-13,2021-07-16,3,False,,True
67,2,2021-07-23,2021-07-16,2021-07-23,7,False,,True
67,3,2021-07-26,2021-07-23,2021-07-28,5,True,2,True
67,4,2021-08-02,2021-07-28,,,True,22,False
67,5,2021-08-07,,,,True,17,False
68,1,2021-07-16,2021-07-10,2021-07-17,7,True,1,True
68,2,2021-07-20,2021-07-17,2021-07-26,9,True,6,True
68,3,2021-07-27,2021-07-26,2021-08-03,8,True,7,True
68,4,2021-08-05,2021-08-03,,,True,19,False
68,5,2021-08-13,,,,True,11,False
69,1,2021-04-27,2021-04-21,2021-04-25,4,False,,True
69,2,2021-05-01,2021-04-25,2021-05-06,11,True,5,True
69,3,2021-05-05,2021-05-06,2021-05-16,10,True,11,True
69,4,2021-05-16,2021-05-16,,,True,100,False
69,5,2021-05-26,,,,True,90,False
70,1,2021-04-07,2021-04-05,2021-04-09,4,True,2,True
70,2,2021-04-15,2021-04-09,2021-04-19,10,True,4,True
70,3,2021-04-19,2021-04-19,2021-04-23,4,True,4,True
70,4,2021-04-29,2021-04-23,,,True,117,False
70,5,2021-05-03,,,,True,113,False
71,1,2021-04-30,2021-04-23,2021-04-30,7,False,,True
71,2,2021-05-03,2021-04-30,2021-05-08,8,True,5,True
71,3,2021-05-10,2021-05-08,2021-05-13,5,True,3,True
71,4,2021-05-18,2021-05-13,,,True,98,False
71,5,2021-05-23,,,,True,93,False
72,1,2021-06-20,2021-06-22,2021-07-01,9,True,11,True
72,2,2021-07-02,2021-07-01,2021-07-05,4,True,3,True
72,3,2021-07-11,2021-07-05,2021-07-09,4,False,,True
72,4,2021-07-15,2021-07-09,,,True,40,False
72,5,2021-07-19,,,,True,36,False
73,1,2021-03-02,2021-02-26,2021-03-01,3,False,,True
73,2,2021-03-08,2021-03-01,2021-03-10,9,True,2,True
73,3,2021-03-11,2021-03-10,2021-03-13,3,True,2,True
73,4,2021-03-20,2021-03-13,,,True,157,False
73,5,2021-03-23,,,,True,154,False
74,1,2021-04-21,2021-04-22,2021-05-03,11,True,12,True
74,2,2021-05-02,2021-05-03,2021-05-10,7,True,8,True
74,3,2021-05-13,2021-05-10,2021-05-20,10,True,7,True
74,4,2021-05-20,2021-05-20,,,True,96,False
74,5,2021-05-30,,,,True,86,False
75,1,2021-07-31,2021-08-02,2021-08-08,6,True,8,True
75,2,2021-08-12,2021-08-08,2021-08-17,9,True,5,True
75,3,2021-08-18,2021-08-17,2021-08-21,4,True,3,True
75,4,2021-08-27,2021-08-21,,,False,,False
75,5,2021-08-31,,,,False,,False
76,1,2021-03-08,2021-03-05,2021-03-17,12,True,9,True
76,2,2021-03-15,2021-03-17,2021-03-22,5,True,7,True
76,3,2021-03-27,2021-03-22,2021-03-31,9,True,4,True
76,4,2021-04-01,2021-03-31,,,True,145,False
76,5,2021-04-10,,,,True,136,False
77,1,2021-04-12,2021-04-06,2021-04-10,4,False,,True
77,2,2021-04-16,2021-04-10,2021-04-13,3,False,,True
77,3,2021-04-20,2021-04-13,2021-04-24,11,True,4,True
77,4,2021-04-23,2021-04-24,,,True,123,False
77,5,2021-05-04,,,,True,112,False
78,1,2021-07-22,2021-07-18,2021-07-22,4,False,,True
78,2,2021-07-28,2021-07-22,2021-08-01,10,True,4,True
78,3,2021-08-01,2021-08-01,2021-08-10,9,True,9,True
78,4,2021-08-11,2021-08-10,,,True,13,False
78,5,2021-08-20,,,,True,4,False
79,1,2021-03-05,2021-02-26,2021-03-04,6,False,,True
79,2,2021-03-08,2021-03-04,2021-03-16,12,True,8,True
79,3,2021-03-14,2021-03-16,2021-03-21,5,True,7,True
79,4,2021-03-26,2021-03-21,,,True,151,False
79,5,2021-03-31,,,,True,146,False
80,1,2021-03-02,2021-03-02,2021-03-11,9,True,9,True
80,2,2021-03-12,2021-03-11,2021-03-19,8,True,7,True
80,3,2021-03-21,2021-03-19,2021-03-30,11,True,9,True
80,4,2021-03-29,2021-03-30,,,True,148,False
80,5,2021-04-09,,,,True,137,False
81,1,2021-02-06,2021-02-08,2021-02-18,10,True,12,True
81,2,2021-02-18,2021-02-18,2021-02-23,5,True,5,True
81,3,2021-02-28,2021-02-23,2021-03-07,12,True,7,True
81,4,2021-03-05,2021-03-07,,,True,172,False
81,5,2021-03-17,,,,True,160,False
82,1,2021-06-23,2021-06-22,2021-07-03,11,True,10,True
82,2,2021-07-02,2021-07-03,2021-07-13,10,True,11,True
82,3,2021-07-13,2021-07-13,2021-07-21,8,True,8,True
82,4,2021-07-23,2021-07-21,,,True,32,False
82,5,2021-07-31,,,,True,24,False
83,1,2021-05-18,2021-05-14,2021-05-25,11,True,7,True
83,2,2021-05-24,2021-05-25,2021-06-06,12,True,13,True
83,3,2021-06-04,2021-06-06,2021-06-12,6,True,8,True
83,4,2021-06-16,2021-06-12,,,True,69,False
83,5,2021-06-22,,,,True,63,False
84,1,2021-04-08,2021-04-06,2021-04-14,8,True,6,True
84,2,2021-04-16,2021-04-14,2021-04-17,3,True,1,True
84,3,2021-04-24,2021-04-17,2021-04-28,11,True,4,True
84,4,2021-04-27,2021-04-28,,,True,119,False
84,5,2021-05-08,,,,True,108,False
85,1,2021-08-22,2021-08-19,,,True,2,False
85,2,2021-08-29,,,,False,,False
86,1,2021-07-30,2021-07-25,2021-08-03,9,True,4,True
86,2,2021-08-04,2021-08-03,2021-08-15,12,True,11,True
86,3,2021-08-13,2021-08-15,2021-08-22,7,True,9,True
86,4,2021-08-25,2021-08-22,,,False,,False
86,5,2021-09-01,,,,False,,False
87,1,2021-01-27,2021-01-21,2021-02-01,11,True,5,True
87,2,2021-01-31,2021-02-01,2021-02-04,3,True,4,True
87,3,2021-02-11,2021-02-04,2021-02-08,4,False,,True
87,4,2021-02-14,2021-02-08,,,True,191,False
87,5,2021-02-18,,,,True,187,False
88,1,2021-02-13,2021-02-06,2021-02-13,7,False,,True
88,2,2021-02-16,2021-02-13,2021-02-16,3,False,,True
88,3,2021-02-23,2021-02-16,2021-02-26,10,True,3,True
88,4,2021-02-26,2021-02-26,,,True,179,False
88,5,2021-03-08,,,,True,169,False
89,1,2021-08-19,2021-08-14,2021-08-19,5,False,,True
89,2,2021-08-24,2021-08-19,,,True,0,False
89,3,2021-08-29,,,,False,,False
90,1,2021-04-16,2021-04-17,2021-04-26,9,True,10,True
90,2,2021-04-27,2021-04-26,2021-05-07,11,True,10,True
90,3,2021-05-06,2021-05-07,2021-05-18,11,True,12,True
90,4,2021-05-17,2021-05-18,,,True,99,False
90,5,2021-05-28,,,,True,88,False
91,1,2021-06-06,2021-05-31,2021-06-11,11,True,5,True
91,2,2021-06-10,2021-06-11,2021-06-23,12,True,13,True
91,3,2021-06-21,2021-06-23,2021-06-27,4,True,6,True
91,4,2021-07-03,2021-06-27,,,True,52,False
91,5,2021-07-07,,,,True,48,False
92,1,2021-08-30,,,,False,,False
93,1,2021-03-26,2021-03-27,2021-04-08,12,True,13,True
93,2,2021-04-06,2021-04-08,2021-04-17,9,True,11,True
93,3,2021-04-18,2021-04-17,2021-04-27,10,True,9,True
93,4,2021-04-27,2021-04-27,,,True,119,False
93,5,2021-05-07,,,,True,109,False
94,1,2021-06-15,2021-06-17,2021-06-23,6,True,8,True
94,2,2021-06-27,2021-06-23,2021-06-26,3,False,,True
94,3,2021-07-03,2021-06-26,2021-06-29,3,False,,True
94,4,2021-07-06,2021-06-29,,,True,49,False
94,5,2021-07-09,,,,True,46,False
95,1,2021-03-29,2021-03-30,2021-04-11,12,True,13,True
95,2,2021-04-09,2021-04-11,2021-04-18,7,True,9,True
95,3,2021-04-21,2021-04-18,2021-04-26,8,True,5,True
95,4,2021-04-28,2021-04-26,,,True,118,False
95,5,2021-05-06,,,,True,110,False
96,1,2021-05-17,2021-05-14,2021-05-21,7,True,4,True
96,2,2021-05-24,2021-05-21,2021-05-30,9,True,6,True
96,3,2021-05-31,2021-05-30,2021-06-08,9,True,8,True
96,4,2021-06-09,2021-06-08,,,True,76,False
96,5,2021-06-18,,,,True,67,False
97,1,2021-01-26,2021-01-21,2021-01-26,5,False,,True
97,2,2021-01-31,2021-01-26,2021-02-01,6,True,1,True
97,3,2021-02-05,2021-02-01,2021-02-08,7,True,3,True
97,4,2021-02-11,2021-02-08,,,True,194,False
97,5,2021-02-18,,,,True,187,False
98,1,2021-01-25,2021-01-18,2021-01-28,10,True,3,True
98,2,2021-01-28,2021-01-28,2021-02-06,9,True,9,True
98,3,2021-02-07,2021-02-06,2021-02-11,5,True,4,True
98,4,2021-02-16,2021-02-11,,,True,189,False
98,5,2021-02-21,,,,True,184,False
99,1,2021-08-26,,,,False,,False
100,1,2021-07-13,2021-07-07,2021-07-12,5,False,,True
100,2,2021-07-17,2021-07-12,2021-07-20,8,True,3,True
100,3,2021-07-22,2021-07-20,2021-07-29,9,True,7,True
100,4,2021-07-30,2021-07-29,,,True,25,False
100,5,2021-08-08,,,,True,16,False
101,1,2021-06-16,2021-06-16,2021-06-25,9,True,9,True
101,2,2021-06-26,2021-06-25,2021-07-05,10,True,9,True
101,3,2021-07-05,2021-07-05,2021-07-08,3,True,3,True
101,4,2021-07-15,2021-07-08,,,True,40,False
101,5,2021-07-18,,,,True,37,False
102,1,2021-05-11,2021-05-06,2021-05-09,3,False,,True
102,2,2021-05-16,2021-05-09,2021-05-12,3,False,,True
102,3,2021-05-19,2021-05-12,2021-05-24,12,True,5,True
102,4,2021-05-22,2021-05-24,,,True,94,False
102,5,2021-06-03,,,,True,82,False
103,1,2021-02-13,2021-02-11,2021-02-15,4,True,2,True
103,2,2021-02-21,2021-02-15,2021-02-26,11,True,5,True
103,3,2021-02-25,2021-02-26,2021-03-06,8,True,9,True
103,4,2021-03-08,2021-03-06,,,True,169,False
103,5,2021-03-16,,,,True,161,False
104,1,2021-04-19,2021-04-19,2021-04-23,4,True,4,True
104,2,2021-04-29,2021-04-23,2021-04-26,3,False,,True
104,3,2021-05-03,2021-04-26,2021-05-08,12,True,5,True
104,4,2021-05-06,2021-05-08,,,True,110,False
104,5,2021-05-18,,,,True,98,False
105,1,2021-06-17,2021-06-15,2021-06-19,4,True,2,True
105,2,2021-06-25,2021-06-19,2021-07-01,12,True,6,True
105,3,2021-06-29,2021-07-01,2021-07-08,7,True,9,True
105,4,2021-07-11,2021-07-08,,,True,44,False
105,5,2021-07-18,,,,True,37,False
106,1,2021-09-01,,,,False,,False
